id,canonical_name,provenance_class,status,evidence,notes
W3-437,memory-usage-low,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain the distinct low memory usage level. Breeze provides generic memory and system-monitor assets but no canonical low, medium or high memory usage status family; mapping this state to a generic hardware icon would discard the intended utilization level."
W3-438,memory-usage-medium,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain the distinct medium memory usage level. Breeze provides generic memory and system-monitor assets but no canonical low, medium or high memory usage status family; mapping this state to a generic hardware icon would discard the intended utilization level."
W3-439,memory-usage-high,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain the distinct high memory usage level. Breeze provides generic memory and system-monitor assets but no canonical low, medium or high memory usage status family; mapping this state to a generic hardware icon would discard the intended utilization level."
W3-440,gpu-usage-low,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain the distinct low GPU usage level. Breeze provides generic graphics and video-card assets but no canonical low, medium or high GPU usage status family; mapping this state to a generic hardware icon would discard the intended utilization level."
W3-441,gpu-usage-medium,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain the distinct medium GPU usage level. Breeze provides generic graphics and video-card assets but no canonical low, medium or high GPU usage status family; mapping this state to a generic hardware icon would discard the intended utilization level."
W3-442,gpu-usage-high,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain the distinct high GPU usage level. Breeze provides generic graphics and video-card assets but no canonical low, medium or high GPU usage status family; mapping this state to a generic hardware icon would discard the intended utilization level."
W3-443,disk-idle,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct idle disk status. Breeze provides a generic Plasma disk-activity system-monitor applet but no canonical disk idle state; mapping the idle state to the generic activity applet would discard the intended at-rest distinction."
W3-444,disk-busy,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct busy disk status. Breeze provides a generic Plasma disk-activity system-monitor applet but no canonical busy disk status; the applet identifies disk monitoring rather than a specific active or busy state."
W3-445,disk-warning,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct disk warning status. Breeze provides a generic Plasma disk-activity system-monitor applet but no canonical disk warning state; mapping this warning state to the generic activity applet would discard the intended warning semantics."
W3-455,notification-important,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct important-notification status. Breeze provides active, inactive, empty and disabled notification states but no canonical important or attention notification state; mapping this state to notification-active would collapse ordinary new notifications and important notifications into the same semantic state."
W3-459,download-active,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct active download transfer status. Breeze provides generic download actions but no canonical active-download status; mapping this state to a generic download action would discard the intended in-progress transfer state."
W3-460,upload-active,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct active upload transfer status. Breeze provides generic upload actions but no canonical active-upload status; mapping this state to a generic upload action would discard the intended in-progress transfer state."
W3-461,sync-idle,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct idle synchronization status. Breeze provides generic synchronization assets but no canonical idle synchronization state; mapping this state to a generic synchronization asset would discard the intended non-active distinction."
W3-462,sync-active,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct active synchronization status. Breeze provides generic synchronization assets but no canonical active synchronization state; mapping this state to a generic synchronization asset would discard the intended in-progress distinction."
W3-469,scroll-lock-on,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct Scroll Lock enabled status. Breeze provides canonical Caps Lock and Num Lock enabled indicators but no corresponding Scroll Lock status; mapping Scroll Lock to either existing lock indicator would change the represented keyboard state."
W3-473,workspace-active,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct active-workspace status. Breeze provides no canonical workspace-active status icon; mapping this state to a generic desktop, window or navigation icon would discard the intended workspace-state semantics."
W3-474,workspace-inactive,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct inactive-workspace status. Breeze provides no canonical workspace-inactive status icon; mapping this state to a generic desktop, window or navigation icon would discard the intended inactive workspace distinction."
W3-475,window-urgent,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct urgent-window status. Breeze provides no canonical window-urgent or window-attention status icon; mapping this state to a generic warning or window action would conflate urgency state with an unrelated action or warning concept."
W3-476,tray-overflow,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct system-tray overflow status. Breeze provides no canonical tray-overflow status icon; generic expand, arrow or overflow actions do not encode the intended system-tray overflow state."
W3-477,recording-active,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct active-recording status. Breeze provides the media-record action icon but no canonical recording-active status; mapping this state to media-record would conflate an action that starts recording with the persistent state that recording is currently active."
W3-478,screen-sharing,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct active screen-sharing status. Breeze provides generic document-sharing and display-related assets but no canonical screen-sharing status; mapping this state to document-share would change the represented concept from live screen sharing to generic content sharing."
W3-479,idle-inhibitor-on,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct enabled idle-inhibitor status. Breeze provides user-idle presence assets but no canonical idle-inhibitor enabled state; user-idle describes user presence rather than prevention of system idle or sleep."
W3-480,idle-inhibitor-off,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct disabled idle-inhibitor status. Breeze provides user-idle presence assets but no canonical idle-inhibitor disabled state; reusing a user-idle icon would discard the intended inhibitor on/off semantics."
W3-481,computer-desktop,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct desktop-computer device name. Freedesktop and Breeze provide computer, but that canonical is already owned by W3-368 in the Places/Folders group; reusing it would violate the matrix namespace, and an alias cannot collide with an existing canonical. Breeze provides no computer-desktop canonical, so retain the existing project extension."
W3-483,computer-tablet,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct tablet-computer device name. Freedesktop and Breeze provide input-tablet, but the pinned Breeze asset represents an input/drawing tablet with a stylus rather than a standalone slate computer. Breeze provides no computer-tablet canonical, so retain the existing project extension."
W3-486,camera,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a generic still-camera device name. Freedesktop and Breeze provide camera-photo, camera-video and camera-web, but camera-photo is already owned by W3-289 in Actions/UI, while camera-video and camera-web would change the intended device type. Breeze provides no generic camera canonical, so retain camera as a project extension."
W3-493,joystick,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct joystick device name. Freedesktop provides no joystick device canonical, and the pinned Breeze device namespace provides no joystick-specific canonical. Generic input-gaming or input-gamepad assets depict a handheld game controller rather than the intended flight-style lever on a base, so retain joystick as a project extension."
W3-500,monitor-dual,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct dual-monitor device name. Freedesktop provides video-display and Breeze provides monitor and video-display for a single display, but neither namespace provides a canonical name for a dual-monitor device. Reusing a single-display canonical would lose the intended twin-display semantics, so retain monitor-dual as a project extension."
W3-502,projector,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct projector device name. Freedesktop provides no projector canonical, and the pinned Breeze tree provides neither projector nor video-projector. Mapping the device to video-display would change the represented hardware from a light-projecting device to a screen, so retain projector as a project extension."
W3-504,harddisk-external,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct external-hard-disk device name. Freedesktop provides drive-harddisk and drive-removable-media, but drive-harddisk is used for the generic hard disk while drive-removable-media does not preserve the intended external-hard-disk semantics. The pinned Breeze tree provides no drive-harddisk-external canonical, and its removable-media USB variants depict a pendrive rather than the intended cabled external hard disk, so retain harddisk-external as a project extension."
W3-505,ssd,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct SSD device name. Freedesktop and the pinned Breeze device namespace provide no SSD-specific canonical. Mapping the design to generic drive-harddisk would remove the intended solid-state storage distinction and would duplicate the canonical used by W3-503, so retain ssd as a project extension."
W3-506,nvme,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct NVMe device name. Freedesktop and the pinned Breeze device namespace provide no NVMe-specific canonical. Generic hard-disk or removable-media names would change the intended M.2/NVMe blade semantics, so retain nvme as a project extension."
W3-513,router,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct router device name. Freedesktop provides no router device canonical, and the pinned Breeze device namespace provides no router canonical. Breeze network-modem represents modem hardware, while network-wireless and hotspot names describe wireless networking rather than a dedicated router device, so retain router as a project extension."
W3-515,bluetooth-adapter,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct Bluetooth-adapter device name. Freedesktop provides no Bluetooth-adapter device canonical, and the pinned Breeze network-bluetooth asset represents the Bluetooth network symbol rather than a physical USB or hardware adapter. Retain bluetooth-adapter as a project extension to preserve the intended dongle semantics."
W3-516,wifi-adapter,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct Wi-Fi-adapter device name. Freedesktop provides network-wireless for wireless networking, and the pinned Breeze network-wireless asset depicts the wireless signal rather than a physical adapter or dongle. Retain wifi-adapter as a project extension to preserve the intended hardware semantics."
W3-517,gpu,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct GPU device name. Freedesktop provides no GPU device canonical, and the pinned Breeze device namespace provides no GPU-specific canonical. Generic display names such as video-display represent a screen rather than the intended graphics processing card, so retain gpu as a project extension."
W3-520,motherboard,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct motherboard device name. Freedesktop provides no motherboard device canonical, and the pinned Breeze device namespace provides no motherboard-specific canonical. CPU or generic computer assets represent different hardware, so retain motherboard as a project extension."
W3-523,vr-headset,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct VR-headset device name. Freedesktop and the pinned Breeze device namespace provide no VR-headset-specific canonical. Generic display, headset, or gaming-input names do not preserve the intended twin-lens wearable display semantics, so retain vr-headset as a project extension."
W3-524,smartwatch,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct smartwatch device name. Freedesktop and the pinned Breeze device namespace provide no smartwatch-specific canonical. Phone and smartphone assets represent different device classes, so retain smartwatch as a project extension."
W3-525,controller-wheel,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a distinct racing-wheel controller name. Freedesktop provides generic input-gaming but no steering-wheel canonical, and the pinned Breeze device namespace provides generic handheld gamepad assets rather than a racing wheel. Retain controller-wheel as a project extension to preserve the intended hardware semantics."
W3-575,application-key,project-extension,validated,Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C,"Retain a generic cryptographic-key MIME/filetype name. Freedesktop provides no application-key canonical. Breeze provides format-specific application-pgp-keys and application-x-pem-key assets, but neither is semantically equivalent to a generic cryptographic key; renaming would incorrectly narrow the intended filetype to PGP or PEM. Retain application-key as a project extension."
W3-596,audio-playlist,project-extension,validated,"Freedesktop Icon Naming Specification 0.8.90, shared-mime-info 2.5.1, and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a generic playlist MIME/filetype concept. shared-mime-info provides format-specific playlist identities such as audio/x-mpegurl, application/vnd.apple.mpegurl, application/xspf+xml and application/vnd.ms-wpl; choosing any one would incorrectly narrow the slot. Breeze provides playlist actions such as view-media-playlist but no matching MIME canonical audio-playlist. Retain audio-playlist as a project extension."
W3-604,model-3d,project-extension,validated,"Freedesktop Stage B, shared-mime-info 2.5.1 Stage B-MIME, and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a distinct generic 3D-model MIME/filetype concept. The pinned shared-mime database provides format-specific 3D types such as model/stl, model/obj and glTF, but no generic model MIME and several model types fall back to image-x-generic. That generic image canonical is already owned by W3-577 and would erase the intended 3D distinction. Breeze provides no model-3d or model-x-generic MIME canonical, so retain model-3d as a project extension."
W3-608,model-fbx,project-extension,validated,"Freedesktop Stage B, shared-mime-info 2.5.1 Stage B-MIME, and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a distinct FBX 3D-model filetype concept. The pinned shared-mime-info source contains no FBX MIME identity or *.fbx glob, and the pinned Breeze MIME namespace provides no FBX canonical. No stronger standard-derived name exists in the project baseline, so retain model-fbx as a project extension."
W3-625,preferences-hardware,project-extension,validated,"Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a generic hardware-settings concept. Freedesktop provides preferences-desktop-peripherals, which is limited to peripheral devices, while Breeze provides preferences-devices-tree and YaST-specific hardware grouping assets but no generic preferences-hardware canonical. Mapping this slot to peripherals or a device-tree view would narrow or change the intended processor-and-hardware settings semantics."
W3-628,preferences-appearance,project-extension,validated,"Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a broad appearance-settings concept. Freedesktop and Breeze provide narrower theme, color, font, wallpaper and desktop-style canonicals such as preferences-desktop-theme, but no umbrella preferences-appearance name. Choosing one narrower appearance subsystem would not represent the intended combined mirror-and-paintbrush appearance category."
W3-642,system-about,project-extension,validated,"Freedesktop Stage B and pinned KDE Breeze 235730e69d90949621e4fee77fcc459772b7a8f0 Stage C","Retain a system-information/about category distinct from the Freedesktop help-about action. Freedesktop help-about is an application help/about action, while the matrix concept represents system identity/information. Pinned Breeze provides help-about but no system-about canonical, so retain system-about as a project extension."
